سلام وطندار Radio Salam Watandar FM 98.9	Kabul	Afghanistan	34.555	69.207	https://s10.myradiostream.com/12238/;
Alpo Radio 94.1 FM	Gjirokaster	Albania	40.067	20.105	https://cp1.sednastream.com/proxy/alporadio/stream
Radio Lezha	Lezhë	Albania	41.786	19.646	https://stream.zeno.fm/5sdeyn171k8uv
Radio Lushnja 95.5 FM	Lushnjë	Albania	40.942	19.700	https://stream.radiolushnja.al/listen/radio_lushnja/radio.mp3
Radio Logos	Pogradec	Albania	40.902	20.656	https://s2.stationplaylist.com:9280/listen.aac?ver=387034
Radio Saranda 96.1 FM	Sarandë	Albania	39.875	20.007	https://s64.radiolize.com/radio/8050/radio.mp3
Radio Jehona FM 107.6	Shkodër	Albania	42.069	19.503	https://stream.iradio.pro/proxy/radiojehona?mp=/1
Club FM Shqiperi 100.4	Tirana	Albania	41.328	19.819	https://cp1.sednastream.com/proxy/clubfm?mp=/stream
My Music 97.3	Tirana	Albania	41.328	19.819	https://live.top-media.al/mmr
Nest Radio	Tirana	Albania	41.328	19.819	https://azuracast-radio.nestnews.al/listen/nest-radio/radio.mp3
NRG Radio	Tirana	Albania	41.328	19.819	https://ice31.securenetsystems.net/AL09
Play Radio 91.1 FM	Tirana	Albania	41.328	19.819	https://business.playfm.al:8170/paperplay
Radio 1 FM 93.2	Tirana	Albania	41.328	19.819	http://audio.radio1.al:88/broadwavehigh.mp3
Radio 7	Tirana	Albania	41.328	19.819	http://cp1.sednastream.com:8013/live
Radio Arumun	Tirana	Albania	41.328	19.819	https://stream.zeno.fm/1nykd3t9f7qtv
Radio DJ 98.2 FM	Tirana	Albania	41.328	19.819	https://radios.albaniadigitalradio.al/albaniaradiodj
Radio Maria FM 90.0	Tirana	Albania	41.328	19.819	http://dreamsiteradiocp5.com:8075/stream
Radio Marimanga	Tirana	Albania	41.328	19.819	https://a9.asurahosting.com/listen/radio_marimanga/radio.mp3
Radio Mojahed	Tirana	Albania	41.328	19.819	https://s2.radio.co/s830691c74/listen
Radio Nacional 93.6 FM	Tirana	Albania	41.328	19.819	https://stream.zeno.fm/vkqjn43uuptuv
Radio One FM 95.2	Tirana	Albania	41.328	19.819	https://cp1.sednastream.com/proxy/radioone94?mp=/stream
Radio Pendimi	Tirana	Albania	41.328	19.819	http://radio-pendimi.com:8014/;
